Account Code,Account Name,Portal URL,Type
FPTMM3B3,Aiana Restaurant,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=FPTMM3B3,Regular
FRU6VD6W,Hendersons Brewing,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=FRU6VD6W,Regular
FZ4UTSB9,Belle Isle,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=FZ4UTSB9,Regular
FZB4SE6N,Rhubarb Restaurant,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=FZB4SE6N,Regular
GC3Z5V3R,Grange of Prince Edward,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=GC3Z5V3R,Regular
GCXB7HZR,The Knoll,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=GCXB7HZR,Regular
GJJH57ZT,Expedition Helicopters,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=GJJH57ZT,Regular
GQ32RHFG,Contrada,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=GQ32RHFG,Regular
H442Y6DH,The Everly Restaurant & Lounge,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=H442Y6DH,Regular
HG6TT7XV,The 222,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=HG6TT7XV,Regular
HJ3P9JKQ,Mount Alverno,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=HJ3P9JKQ,Regular
HKP5M2TA,Sussex & Co,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=HKP5M2TA,Regular
HSE9226F,Poppy's French Bistro,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=HSE9226F,Regular
HXAVZXLU,No Vacancy,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=HXAVZXLU,Regular
J235QQXN,Barton Salumeria,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=J235QQXN,Regular
JAYWXCU6,Sand and Pearl Oyster Bar,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=JAYWXCU6,Regular
JDBYMJJU,Stackt Market,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=JDBYMJJU,Regular
JG5EDRBE,MNP,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=JG5EDRBE,Regular
JJBZAAZ2,The Fredrick,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=JJBZAAZ2,Regular
JTSMAXJW,Wander The Resort,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=JTSMAXJW,Regular
JW6JYHNG,Ganaraska Brewing Co.,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=JW6JYHNG,Regular
K6NMMG3X,Waterworks Food Hall,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=K6NMMG3X,Regular
KPKUCUVW,The Ace,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=KPKUCUVW,Regular
L2UXYD3C,Pan Pacific Hotel,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=L2UXYD3C,Regular
LAX2DYA3,Veld,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=LAX2DYA3,Live Nation
LKK56JUY,Bar Duchess,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=LKK56JUY,Regular
LSMYDXX6,915 DuPont Cafe,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=LSMYDXX6,Regular
LZT6A6QV,Cherry St Bar-B-Que,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=LZT6A6QV,Regular
LZUNKM4J,Split Tree,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=LZUNKM4J,Regular
M28N5CTF,Laughing Buddha,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=M28N5CTF,Regular
M4PKK3WH,Kasa Moto,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=M4PKK3WH,Regular
M88W228G,Cherry's High Dive,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=M88W228G,Regular
M96CBPVN,Chronicle Brewing Taproom Ltd.,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=M96CBPVN,Regular
MBWBRFMJ,Mrs. Robinson,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=MBWBRFMJ,Regular
MD624ESA,The Local Social House,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=MD624ESA,Regular
MJRWMY67,The Rhino Bar & Grill,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=MJRWMY67,Regular
MLC6VYWR,Dreamland Cafe Inc.,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=MLC6VYWR,Regular
MTQQEJ2Q,True North Airways,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=MTQQEJ2Q,Regular
MX9HTXP6,La Condesa,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=MX9HTXP6,Regular
MXK92ZDV,Mildred's Temple Kitchen,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=MXK92ZDV,Regular
N3PWZR8S,Miku,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=N3PWZR8S,Regular
N6E2DZ2H,St. Regis Hotel,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=N6E2DZ2H,Regular
N6HR8WYU,Prodigy Hospitality Group,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=N6HR8WYU,Regular
N8P7S3WN,Linny's Restaurant,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=N8P7S3WN,Regular
NAAL4TKC,Black Bear Ridge Golf Course,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=NAAL4TKC,Regular
NBYUKKMV,Electric Island,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=NBYUKKMV,Live Nation
NH5GZD3R,Eighteen,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=NH5GZD3R,Regular
NPVEX9LB,Boxcar Social Summerhill,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=NPVEX9LB,Regular
NQ7C553C,Bar Poet,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=NQ7C553C,Regular
NRNT3G3W,Alice Restaurant & Bar,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=NRNT3G3W,Regular
NSJ4FRTX,Chez Piggy,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=NSJ4FRTX,Regular
NVLUA65N,Takja BBQ House,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=NVLUA65N,Regular
NY63KWCQ,Local Public Eatery (Leaside),https://12trinity.github.io/order-portal/12-trinity-portal.html?account=NY63KWCQ,Regular
P3J95R8R,Brass Monkey Speakeasy,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=P3J95R8R,Regular
P4Y9VX3K,Local Public Eatery (Liberty),https://12trinity.github.io/order-portal/12-trinity-portal.html?account=P4Y9VX3K,Regular
P9M675KA,Louf,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=P9M675KA,Regular
PE8X8PTX,Karma,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=PE8X8PTX,Regular
PGZYDN8W,Kingston Waterfront Hotel (Aqua Terra),https://12trinity.github.io/order-portal/12-trinity-portal.html?account=PGZYDN8W,Regular
Q2HT4VNR,Let Me Be Frank and Frankly,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=Q2HT4VNR,Regular
Q6EGAFC3,Pure Spirits,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=Q6EGAFC3,Regular
Q8AE8UZS,The Clarendon,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=Q8AE8UZS,Regular
Q9GZZWK6,Meyers Creek Brewing Company,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=Q9GZZWK6,Regular
Q9PYBSL9,Queen & Beaver Public House,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=Q9PYBSL9,Regular
QQFX5RA7,Spirit of York Distillery,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=QQFX5RA7,Regular
QSK6K7FT,The Rosebud,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=QSK6K7FT,Regular
QUHZYMEY,Arlo Wine & Restaurant,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=QUHZYMEY,Regular
QYMBFSVB,La Banane,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=QYMBFSVB,Regular
QZ423ZC5,Bar Aperitivo,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=QZ423ZC5,Regular
R5QUJEUH,Drom Taberna,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=R5QUJEUH,Regular
RFDS9XB6,Odd Duck Wine & Provisions,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=RFDS9XB6,Regular
RFMRTZ9J,Opera House,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=RFMRTZ9J,Live Nation
RSTQK8R8,Canada's National Ballet School,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=RSTQK8R8,Regular
S2ET7QBQ,Mira Mira Diner,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=S2ET7QBQ,Regular
S523VRZA,Bampot House,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=S523VRZA,Regular
